a,একটি
pettifogging,বাজে
petting,কোলাকুলি করা
pettish,খিট্খিটে
pettitoes,শূকরের পায়ের পাতা
petto,কুচ
petty,ক্ষুদ্র
petulance,বিরক্তি
petulances,ধৃষ্টতা
petulancies,ধৃষ্টতা
petulancy,ধৃষ্টতা
petulant,বিরক্ত
petulantly,টপিক অফ
petunia,অপরাজিতা গোত্রীয় বা কলেকর আকারের ফুলগাছ বা উহার ফুল
pew,গির্জায় ঘেরা আসন
pews,গির্জায় ঘেরা আসন
pewter,কংস
pewters,একপ্রকার দস্তা
peyote,মেক্সিকোদেশের ফণীমনসা জাতীয় গাছ
pfft,'আমিও করেছি
pgp,পিজিপি
phaenomenon,প্রপঞ্চ
phaeton,অনাবৃত চার্চাকার ঘোড়ার গাড়িবিশেষ
phagocyte,রোগবীজাণুনাশক রক্তের শ্বেতকণিকা
phagocytic,গ্রাসী কোষ - সংক্রান্ত
phagocytosis,রোগবীজাণুবিনাশ
phalanges,সৈন্যশ্রেণী
phalanx,বূ্যহ
phalanxes,সৈন্যশ্রেণী
phalli,লিঙ্গ
phallicism,লিঙ্গপূজা
phallus,পুংজননেন্দ্রি়
phalluses,লিঙ্গ
phantasies,কল্পনা
phantasm,ভূত
phantasma,ফ্যান্টম
phantasmagoria,মোহাবিষ্টনেত্রে দৃষ্ত অলীক ছায়ামূর্তির বা প্রকৃত মূর্তির মিথ্য ধারাবাহিক প্রবাহ
phantasmal,ভূতুরে
phantasms,ফুল ফুল ফুল
phantasy,কল্পনা
phantasy fantasy,কল্প-কথা
phantom,ভূত
phantoms,অপচ্ছায়া
pharaoh,ফেরাউন
pharaohs,ফেরাউন
pharaonic,ফ্যারাওদের
phare,যেমন মিষ্টি
phares,পেরেজ
pharisaic,কপটাচারী
pharisaical,ধর্মধ্বজী
pharisaism,ভণ্ডামি
pharisaisms,ধর্মধ্বজিতা
pharisee,প্রাচীন ইহুদিজাতির অন্তর্ভুক্ত ধার্মিক ও আচারনিষ্ঠ বলিয়া খ্যাত সম্প্রদায়বিশেষ
pharisees,ফরীশীরা
pharma,ফার্মা
pharmaceutic,ঔষধপ্রস্তুতের বিদ্যা সংক্রান্ত
pharmaceutical,ফার্মাসিউটিকাল
pharmaceuticals,ওষুধপত্র
pharmaceutics,ঔষধ - প্রস্তুতকরণ বিষয়ক বিদ্যা
pharmaceutist,ঔষধপ্রস্তুতকারী
pharmaceutists,ঔষধপ্রস্তুতকারী
pharmacies,ফার্মেসী
pharmacist,কম্পউণ্ডার
pharmacists,ফার্মাসিস্ট
pharmacological,ফার্মাকোলজিকাল
pharmacology,ঔষধসংক্রান্ত বিজ্ঞান
pharmacopeia,ফার্মাকোপিয়া
pharmacopoeia,ঔষধ প্রস্তুত করার প্রণালীসম্বন্ধে নির্দেশসংবলিত পুস্তক বা তালিকা
pharmacopoeias,ফার্মাকোপিযাসমূহে
pharmacotherapy,ফার্মাকোথেরাপির
pharmacy,ঔষধালয়
pharos,বাতিঘর বা আলোকসংকেত
pharynges,ফ্যারিঙ্ক্স্
pharyngitis,গলবিলপ্রদাহমূলক ব্যাধিবিশেষ
pharynx,গলবিল
pharynxes,ফ্যারিঙ্ক্স্
phase,কালবিভাগ
phased,বিকাশ
phaseout,বসাবার
phaser,কলা
phases,পর্যায়ক্রমে
phases of the moon,চন্দ্রকলা
phasic,পর্যায়িক
phasing,উপর নিরভরশীল
pheasant,রঙ্গীন পক্ষীবিশেষ
phenol,কীটনাশক ঔষধ ব্যবহৃত কার্বলিক অ্যাসিড
phenology,জলবায়ু প্রভাবিত প্রাকৃতিক ব্যাপারের পরিবর্তন সম্পর্কিত তত্ব
phenom,ফেনম
phenomena,ঘটনা
phenomenal,বিষ্ময়কর
phenomenalism,প্রপঞ্চ ও সত্তায় প্রভেদ নাই বা প্রপঞ্চই সত্তা
phenomenalistic,প্লেটোর
phenomenality,লেখা দেবার
phenomenas,ঘাত প্রতিঘাত পার হয়েই
phenomenism,"phenomenism
phenomenologies,প্রপঁচবিজ্ঞান
phenomenologist,এরূপ বস্তু বা ঘটনা
phenomenology,প্রপঁচবিজ্ঞান
phenomenon,প্রপঞ্চ
phenotype,ফেনোটাইপ
phenotypes,ফেনোটাইপ
phenotypic,ফেনোটাইপিক
phenotypically,পর বিভাজন
phenylketonuria,ফিনাইলকিটোনিউরিয়ালের
phenytoin,ফেনাইটয়েন
pheromone,ফেরোমোন
phew,রাম রাম
phi,ফাই
phial,শিশি
phialled,শিশিতে রক্ষিত
phialling,শিশির মধ্যে ভরা
phials,শিশি
philadelphia,ফিলাডেলফিয়া
philander,প্রেমের অভিনয় করা
philandered,প্রেমনিবেদন করা
philanderer,প্রেমিক
philanderers,প্রেমিক
philandering,প্রেমনিবেদন করা
philanders,প্রেমনিবেদন করা
philanthrope,লোকহিতৈষী
philanthropes,লোকহিতৈষী
philanthropic,বিশ্বপ্রেমিক
philanthropical,মানব - হিতৈষী
philanthropies,বহুজাতিকদেরও
philanthropist,বিশ্বপ্রেমিক
philanthropists,জনহিতৈষীবৃন্দ
philanthropy,বিশ্বপ্রেম
philatelic,ডাকটিকেট-সংগ্রহ-সংক্রান্ত
philatelies,ডাকটিকের্টসংগ্রহ
philatelist,ডাকটিকের্টসংগ্রহকারী
philatelists,ডাকটিকের্টসংগ্রহকারী
philately,ডাকটিকের্টসংগ্রহ
philharmonic,সঙ্গীতপ্রি়
philhellenic,গ্রীসকে ভালবাসে এমন
philippic,কুত্সাপূর্ণ বক্তৃতা
philippics,কুত্সাপূর্ণ বক্তৃতা
philippine,ফিলিপাইন
philippines,ফিলিপাইন
philistia,পলেষ্টীয়দের
philistine,সঙ্কীর্ণমনা ব্যক্তি
philistines,পলেষ্টীয়দের
phillumenist,দিয়াশলাইয়ের বাক্সের লেবেল সংগ্রহকারী
philodendron,ক্রান্তীয় চিরহরিৎ লতা একটি ঘরে থাকা গাছ হিসাবে চাষ
philogic,ভাষাবিদ্যানুযায়ী
philogynist,নারী - প্রেমিক
philogynists,নারী-প্রেমিক
philogyny,স্ত্রীজাতির প্রতি অনুরাগ
philologic,ভাষাবিদ্যাগত
philological,ভাষাবিদ্যাগত
philologically,ভাষাবিজ্ঞানে
philologies,ভাষাবিজ্ঞান
philologist,ভাষাবিজ্ঞানী
philologists,ভাষাতত্ত্ববিৎ
philology,ভাষাবিজ্ঞান
philomel,নাইটিংগল
philosopher,দার্শনিক
philosopher's stone,স্পর্শমণি
philosophers,দার্শনিক
philosophes,প্রগতিশীল
philosophic,দার্শনিক
philosophical,দার্শনিক
philosophical belief,দার্শনিক মত
philosophically,দার্শনিকভাবে
philosophies,দর্শন
philosophising,মিসাইলও
philosophize,দার্শনিক দৃষ্টিতে বিচার করা
philosophy,দর্শন
philter,প্রণয়োদ্দীপক পানীয়
philtre,প্রণয়োদ্দীপক পানীয়
phimosis,পুংজননেন্দ্রিয়ের আবরণ ত্বকের সঙ্কোচনহীনতা
phishing,ফিশিং
phiz,মুখাকৃতি
phizzes,মুখাকৃতি
phlebitis,ধমনীপ্রবাহ
phlebotomies,রক্তমোক্ষণ
phlebotomist,রক্তমোক্ষণবিত্ চিকিত্সক
phlebotomy,রক্তস্রাবণ
phlegm,কফ
phlegmatic,জড়
phlegmatical,জড়
phlegms,কফ
phlogistic,প্রদাহমূলক
phlox,থোকায় থোকায় পুষ্পপ্রসু উদ্যানতরুবিশেষ বা উক্ত পুষ্প
phobia,বিতৃষ্ণা
phobias,আতঙ্ক
phoebe,চন্দ্র
phoebes,চন্দ্র
phoebus,সূয্র্য
phoenix,রূপকথার পক্ষি বিশেষ
phoenixes,ফনিক্স
phonautograph,ধ্বনি - কম্পন লিপিবদ্ধ করিবার যন্ত্রবিশেষ
phone,ফোন
phone in,ফোন ইন
phone out,ফোন আউট
phonecard,ফোন কার্ড
phonecards,ফোন কার্ড
phoned,টেলিফোন করা
phoneme,নির্দিষ্ট কোনো ভাষার যে ধ্বনিগুচ্ছকে একই ধ্বনির বিভিন্ন রূপ বলিয়া মনে হয়
phonemic,কোন ভাষার একটি শব্দ থেকে অন্য শব্দের উচ্চারণ পার্থক্য
phoner,ফোন
phones,ফোন
phonetic,স্বরবিষয়ক
phonetical,জ্যোতির
phonetically,উচ্চারণানুযায়ী
phoneticial,ভাষার ধ্বনিসংক্রান্ত
phonetician,ভাষার ধ্বনিবিজ্ঞানী
phoneticians,ভাষার ধ্বনিবিজ্ঞানী
phonetics,ধ্বনিবিজ্ঞান
phonetist,স্বরবিজ্ঞানী
phonetists,স্বরবিজ্ঞানী
phoney,অপ্রকৃত
phonic,স্বরসম্বন্ধীয়
phonics,ধ্বনিবিজ্ঞান
phonier,অপ্রকৃত
phoniest,অপ্রকৃত
phoning,টেলিফোন করা
phonogram,ধ্বনিনির্দেশক বর্ণ
phonograms,একটি কানা
phonograph,ধ্বনিনির্দেশক চিহ্ন
phonographer,শর্টহ্যানড - লেখক
phonographic,ভাষার ধ্বনিগত
phonographist,শর্টহ্যানড - লেখক
phonographs,ধ্বনিনির্দেশক চিহ্ন
phonography,ধ্বনি অনুযায়ী সংকেত লিপি লেখন
phonological,শব্দ - বিদ্যাগত
phonologically,শব্দবিদ্যাগত
phonologies,শব্দবিদ্যা
phonologist,শব্দ বিদ্যাবত্
phonology,ধ্বনিবিজ্ঞান
phonometer,ধ্বনিতরঙ্গের সংখ্যা বা শক্তি লিপিবদ্ধ করার যন্ত্রবিশেষ
phonon,Phonon দ্বারা প্রেক্ষাপটে
phony,নকল
phooey,বিরক্তি - প্রকাশক ধ্বনি
phosgene,বিষাক্ত গ্যাস - বিশেষ
phosphatase,ফসফাটেজ
phosphate,ফসফরাস ঘটিত আম্লিক লবণবিশেষ
phosphated,ফসফরাস ঘটিত আম্লিক লবণবিশেষ
phosphates,ফসফেট
phosphite,ফসফরাসের আম্লিক লবণ
phospholipid,ফসফোলিপিডস
phospholipids,ফসফোলিপিড
phosphor,ফস্ফর্যাস্
phosphore,শুকতারা
phosphoresce,অন্ধকারে ফসফরাসের মত দীপ্তি পাওয়া
phosphorescence,অনুপ্রভ
phosphorescent,অনুপ্রভ
phosphoric,অনুপ্রভানি্বত
phosphorite,তথ্য বিনিময়
phosphorous,ফসফরাস
phosphors,শুকতারা
phosphorus,ভোরের তারা
phosphorylation,ফসফেট
photics,আলোক সংক্রান্ত
photo,ছবি
photo-management,ছবি ব্যবস্থাপনা
photobiology,ফটোবায়োলজি
photocell,আলোক - বিদ্যুত
photochemical,ফোটোকেমিকাল
photochemistry,ওজোন স্তরের
photocopiable,কর্মক্ষেত্রে
photocopiers,ফটোকপি
photocopies,ফটোকপি
photocopy,ফোটো - কপি
photocopying,ফটোকপি
photodynamic,ফটোডায়নামিক
photogenic,আলো উত্পাদন করে বা বিচ্ছুরিত করে এমন
photogram,ফটোগ্র্যাম বা আলোকচিত্রপ্রেরণ
photograph,আলোকচিত্র
photographed,ছবি
photographer,আলোকচিত্ৰকর
photographers,আলোকচিত্রী
photographic,ফোটোগ্রাফিক
photographical,আলোকচিত্ৰতুল্য
photographing,ফোটোগ্রাফির
photographs,ফটোগ্রাফ
photography,ফটোগ্রাফি
photogravure,ছাপিবার জন্য ধাতুপট্টে ফটোগ্রাফের নিগেটিভ খোদাই করার প্রণালী
photoing,ফোটো
photojournalism,আলোকচিত্র সাংবাদিকতা
photojournalist,ফটো
photolysis,আলো - বিকিরণের প্ৰভাবে পচন বা পৃথগীভবন
photomechanical,ফটোমেকানিক্যাল
photometer,আলোকমান
photometric,আলোকমিতি - সংক্রান্ত
photometry,আলোকমিতি
photon,আলোককণা
photons,ফোটন
photophobia,আলোকাতঙ্ক রোগ
photophone,গ্রাহামবেল টেলিগ্রাফে অনেকগুলো
photos,ছবি
photosensitive,আলোক - সংবেদী
photoshoot,ছবিগুলি
photoshop,ফটোশপ
photosphere,সূর্যের আলোকময় বহিরাবরণ
photostat,পাণ্ডুলিপি চিত্র প্রভৃতির অবিকল প্রতিরূপ গ্রহণের যন্ত্র
photosynthesis,সালোকসংশ্লেষ
photosynthetic,সালোকসংশ্লেষণকারী
photosystem,ওয়ার্মআপ
photovoltaic,ফোটোভোলটাইক
photovoltaics,ফোটোভোলটিক
php,পিএইচপি
phrasal,বিশিষ্টাৰ্থক শব্দসমষ্টির আকারে ব্যবহৃত
phrase,বাক্য
phrased,ভাষায় প্রকাশ করা
phraseogram,সাঙ্কেতিক দ্রুতলিখন পদ্ধতিতে শব্দসমষ্টির জন্য ব্যবহৃত চিহ্ন
phraseological,শব্দসমষ্টি সংক্রান্ত
phraseology,বাগবৈশিষ্ট
phrases,বাক্যাংশ
phrasing,ভাষণের বা রচনায় ব্যবহৃত শব্দাবলী
phrenetic,উন্মত্ত
phrenetics,উন্মাদগ্রস্ত ব্যক্তি
phrenic,মধ্যচ্ছদার
phrenology,চিত্তবৃত্তির বা মানসিক শক্তিনির্ণয়ার্থ করোটির বহির্ভাগের গঠনাদির বিচার
phthises,যক্ষ্মারোগ
phthisical,যক্ষ্মারোগ সংক্রান্ত
phthisis,ক্ষয়কাশ
phuket,"অভ্যর্থনা
phut,ধ্বংসীভূত
phycocyanin,শাকসবজি
phyla,অব ট্যাক্সোনমির হিসেব
phyllode,পর্ণবৃত্ত
phylloid,পর্ণসদৃশ
phyllomania,অতিরিক্ত পত্রোদগম
phyllotaxies,পত্রবিন্যাস
phyllotaxis,কাণ্ডোপরি পত্রবিন্যাস
phyllotaxy,পত্রবিন্যাস
phylogeneses,জাতিজনি
phylogenesis,জাতিজনি
phylogenetic,জাতিগত
phylogenies,জাতিজনি
phylogeny,জাতিজনি
phylum,পর্ব
physiatrist,সাইক্রিয়াটিস্ট
physic,চিকিত্সাবিজ্ঞান
physical,শারীরিক
physical beauty,অঙ্গসৌষ্ঠব
physical feat,কসরত
physical fitness,সুস্থতা
physical grace,নিছনি
physical training,শরীরচর্চা
physicalism,আপনার অনুভূতি
physicalist,ক্রিয়া
physically,শারীরিকভাবে
physicals,ভৌতিক
physician,চিকিত্সক
physicians,চিকিত্সক
physicist,প্রকৃতিবিজ্ঞানী
physicists,পদার্থবিদদের
physicked,ঔষধ প্রয়োগ করা
physicking,ঔষধ প্রয়োগ করা
physicochemical,ভৌতরাসায়নিক
physics,পদার্থবিদ্যা
physio,প্রকৃতি
physiocrats,ফিজিওক্র্যাটরা
physiognomy,চেহারা
physiographic,প্রাকৃতিক
physiography,ভূমিবৃত্তি
physiologic,শারীরবৃত্তীয়
physiological,শারীরবৃত্তীয়
physiologically,এবং Physiologically
physiologist,শারীর বৃত্তবিত্
physiologists,physiologists করা
physiology,দেহতত্ব
physiotherapist,ফিজিওথেরাপিস্ট
physiotherapy,অঙ্গসংবাহন তাপন প্রভৃতির দ্বারা চিকিত্সা করে
physique,দেহ
physiques,দেহ
phytography,বর্ণনামূলক উদ্ভিদবিজ্ঞান
phytoplankton,ফাইটোপ্ল্যাঙ্কটনের
phytosterols,ফাইটোস্টেরলস
pi,পাই
pial,পিয়াল
pianist,পিয়ানোবাদক
pianists,পিয়ানোবোদক
piano,পিয়ানো
piano player,পিয়ানোবোদক
pianos,পিয়ানো
piastre,রৌপ্যমুদ্রাবিশেষ
piazza,বারান্দা
piazzas,বারান্দা
piazze,বারান্দা
pibroch,ব্যাগপাইপ - বাজনাবিশেষ
pic,মাংসখণ্ডের
pica,পাইকা
picador,যে বল্লমধারী অশ্বারোহী ষাঁড়ের সঙ্গে লড়াই করে
picaresque,প্রতারণামূলক
picaroon,ঠক
picaroons,ঠগ
picas,পাইকা
piccaninny,বিশেষতঃ নিগ্রো শিশু
piccolo,পিকলু
piccolos,পিকলু
pice,পয়সা
pick,বাছাই
pick a quarrel,ঝগড়া বাধানো
pick and chose,সঠিক নির্বাচন
pick off,চয়ন করা
pick one's pocket,পকেট মারা
pick out,পৃথক্ করা
pick up,উঠান
pick up with,পরিচিত হত্তয়া
pickaninny,বিশেষতঃ নিগ্রো শিশু
pickax,খনিত্র
pickaxe,খনিত্র
pickaxes,খনিত্র
picked,বাছাই করা
picked up,কুড়ান
picker,জুতো
pickers,পিকার্স
picket,ফাঁড়ি স্থাপন করা
picketed,প্রহরীর কাজ করা
picketer,ধৰ্মঘটকালে যে ব্যক্তি ধৰ্মঘটকাৰীদেৰ পক্ষে পিকেটিং কৰে
picketers,হরতালকে কেন্দ্র করে পিকেটিং
picketing,পিকেটিং
pickets,হাসিনা সেদিন
picking,অবচয়
pickings,উপরিলাভ
pickle,জরান
pickled,জরান
pickler,লবণাদিতে জরাইয়া খাদ্যদ্রব্য সংরক্ষণকারী
pickles,আচার
pickling,জারিত করা
picklock,চোর
picklocks,চোর
pickpocket,পকেটমার
pickpockets,গাঁটকাটা
picks,অকার্যকর
pickup,পিক
pickups,পিকআপস
picnic,পিকনিক
picnicked,বনভোজনে যাত্তয়া
picnicking,বনভোজনে যাত্তয়া
picnicky,সহজ বা উপভোগ্য
picnics,পিকনিক
picot,পিকট
pics,ছবি
pictogram,চিত্রলিপি
pictograms,চিত্রলিপি
pictograph,চিত্রদ্বারা লিখনপদ্ধতিতে বর্ণস্বরূপ ব্যবহৃত চিত্র
pictorial,সচিত্র
picture,ছবি
picture gallery,কলাভবন
pictured,অঙ্কিত
picturer,ছবি
pictures,ছবি
picturesque,চিত্রানুগ
picturing,চিত্র করা
picturised,picturized
piddle,মূত্রত্যাগ করা
piddled,মূত্রত্যাগ করা
piddles,মূত্রত্যাগ করা
piddling,তুচ্ছ
piddly,তুচ্ছ
piddock,দ্বিপুটক কোমলাঙ্গ শামুকবিশেষ
pidgins,পিজিন
pie,পাই
pie-eyed,মাতাল
piebald,চিত্রবিচিত্র
piece,টুকরা
piece goods,পণ্যদ্রব্য
piece of news,সংবাদ
piece of rag,চীর
piece out,ক্ষতিপূরণ দেত্তয়া
piece together,সংযুক্ত করা
pieced,সংযুক্ত করা
piecemeal,খণ্ডে খণ্ডে
piecer,টুকরা
pieces,টুকরা
piecework,ফুরণ
piecing,সংযুক্ত করা
pied,চিত্রবিচিত্র
piedforts,পিডফোর্ডস্
pieing,পেসাব
pieman,বড়ার বা পিঠার ফেরিওয়াল অথবা বিক্রেতা
pier,জেটি
pierce,বিঁধান
pierced,অনুপ্রবিষ্ট
piercer,ভেদক
piercers,বিদ্ধ করে এমন
pierces,ভেদ
piercing,তীক্ষ্ন
piercings,পিয়ার্সিংস
pierre,পিয়েরে
pierrot,ঢিলা আলখিল্লা - পরিহিত শ্বেতমুখ ভাঁড়বিশেষ
piers,উত্তরণমঁচ
pies,পাই
pieta,মৃত যিশু - ক্রোড় কুমারী মেরির মূর্তি
pietas,পূর্বপুরুষদিগের প্রতি শ্রদ্ধা
pieties,ভক্তি
pietism,অতিভক্তি
piety,ভক্তি
piffle,বাজে আলাপ
piffled,ক্ষীণভাবে কথা বলা
piffles,ক্ষীণভাবে কথা বলা
piffling,ক্ষীণভাবে কথা বলা
pig,শূকর
pigeon,পায়রা
pigeon house,কপোতগৃহ
pigeonhole,স্মৃতির কক্ষ
pigeonholes,রাজতন্ত্রগুলোর
pigeonries,কপোতগৃহ
pigeonry,কপোতগৃহ
pigeons,পায়রা
pigged,শূকর
piggeries,শূকরশালা
piggery,শূকরশালা
piggies,বাচ্চা শূকর
pigging,শূকর
piggish,শূকরতুল্য
piggy,লোভী
pigheaded,শূকরের ন্যায় মস্তকযুক্ত
pigment,রঙ্গক
pigmentation,চর্মাদির স্বাভাবিক রং
pigments,রঙ্গক
pigmy,ক্ষুদ্রকায়
pignus,উপর বাজি
pigs,শূকর
pigskin,শূকরচর্ম
pigskins,শূকরচর্ম
pigsticking,বরশার দ্বারা বন্যবরাহশিকার
pigsty,শূকরের খোঁয়াড়
pigtail,কবরী
pigtails,শূকরের লেজ
pike,পাইক
piked,সূচ্যগ্র
pikeman,বর্শাধারী
pikemen,বর্শাধারী
piker,মেয়েশিশুদের
pikes,পাইক
pikestaff,বল্লমদণ্ড
pikestaffs,বর্শার ডগা
pila,বল
pilaster,আয়তাকার স্তম্ভ
pilasters,আয়তাকার স্তম্ভ
pilau,পলান্ন
pilaus,পোলাত্ত
pilaw,পলান্ন
pilaws,পোলাত্ত
pilchard,হেরিং - জাতীয় সামুদ্রিক মত্স্যবিশেষ
pilchards,খয়রা
pile,গাদা
pile up,স্তূপাকার করা
piled,রাশীকৃত
piled up,স্তূপাকৃত
piler,গাদা
pilers,প্লাস
piles,গাদা
pileup,স্তূপাকার করা
pilfer,ছিঁচকে চুরি করা
pilferage,ছিঁচকে চুরি
pilferages,কখনোই
pilfered,অপহৃত
pilferer,অপহর্তা
pilferers,ছিঁচকে চোর
pilfering,অপহারক
pilfers,ছিঁচকে চুরি করা
pilgrim,তীর্থযাত্রী
pilgrimage,তীর্থযাত্রা
pilgrimages,তীর্থযাত্রা
pilgrimer,তীর্থযাত্রী
pilgrims,তীর্থযাত্রীদের
piliferous,রোমবহ
piling,পাইল
pill,পিল
pillage,লুঠতরাজ
pillaged,লুঠতরাজ করা
pillager,লুঠেরা
pillages,লুঠতরাজ করা
pillaging,লুঠতরাজ করা
pillai,পিল্লাই
pillar,থাম
pillar to post,এক জায়গা থেকে অন্য জায়গা
pillared,অবলম্বন
pillaring,স্তম্ভ
pillars,স্তম্ভ
pilled,ঔষধের বড়ি খাত্তয়ান
pilling,ঔষধের বড়ি খাত্তয়ান
pillion,জিনের গদি
pillions,জিনের গদি
pillory,কাষ্ঠানির্মিত শাস্তিস্তম্ভবিশেষ
pillow,বালিশ
pillowcase,ত্তড়
pillowcases,বালিশের
pillowed,বালিশের কাজ করা
pillowing,হুড়োহুড়িতে
pillows,বালিশ
pillowslip,ত্তড়
pillowslips,বালিশের ত্তয়াড়
pillowy,কোমল
pills,বড়ি
pilose,চুলযুক্ত
pilot,পরীক্ষামূলক
pilot a ship,জাহাজ চালান
pilotage,জাহাজ পরিচালন
pilotages,জাহাজ পরিচালন
piloted,পরীক্ষামূলক
piloting,চালান
pilotless,চালকহীন
pilots,পাইলটদের
pilous,লোমে ঢাকা
pilule,বড়ি
pimp,কুটনি
pimped,কোটনামি করা
pimpernel,প্রিমরোজ - জাতীয় পুষ্পবৃক্ষবিশেষ বা তাহার ফুল
pimping,সঙ্কীর্ণ
pimple,ফুস্কুড়ি
pimpled,ব্রণময়
pimples,ফুস্কুড়ি
pimply,ফুস্কুড়িযুক্ত
pimps,কোটনামি করা
pin,পিন
pin money,স্ত্রীকে প্রদত্ত হাত খরচ
pin-curl,কোঁকড়ান
pin-pointed,সূচীমুখ
pinafore,পোশাকের উপর পরিধেয় ঢিলা আঙরাখা বিশেষ
pinafored,উক্ত আঙরাখা - পরিহিত
pinatas,পিনাটাস
pinball,পিনবল
pincer,সাঁডাশি জাতীয় যন্ত্র
pincers,চিমটা
pincette,ছোট চিমটা
pinch,চিম্টি
pinch of salt,সতর্কতা
pinchbeck,ঝুটা
pinched,চিমটি কাটা
pinches,চিম্টি
pinching,চিমটি
pine,পাইন - গাছ
pineal,পাইন - গাছের মোচাকার ফলের ন্যায় আকারবিশিষ্ট
pineapple,আনারস
pineapples,আনারস
pinecone,পাইন গাছের ফল
pined,ক্ষয় হত্তয়া
pineries,পাইনারি
pinery,আনারস বাগান
pines,ক্ষয় হত্তয়া
pinetum,পাইন ও তজ্জাতীয় গাছের বাগিচা বা আবাদ
pinfold,গবাদি পশুর খোঁয়াড়
pinfolds,গবাদি পশুর খোঁয়াড়
ping,পিং
pingle,বিপ্লবী বীর রাসবিহারী বসুর
pings,পিংস
pinguid,তৈলাক্ত
pinhead,বুদ্ধু
pinheaded,খুব ছোট জিনিস
pinheads,টুকিটাকি জিনিসপত্র
pinhole,পিন - ছিদ্র
pining,ক্ষয় হত্তয়া
pinion,পালক
pinioned,পিছমোড়া
pinioning,পক্ষবন্ধন করা
pinions,পক্ষবন্ধন করা
pink,গোলাপী
pinked,বিদ্ধ করা
pinker,ফেকাশে লাল
pinkest,গোলাপীতম
pinking,বিদ্ধ করা
pinkish,গোলাপী - গোলাপী
pinkness,গোলাপী ধরনের
pinks,পরাকাষ্ঠা
pinky,ঈষত্ ফেকাশে লাল
pinna,পত্রক
pinnace,পানসি
pinnaces,পানসি
pinnacle,চূড়া
pinnacled,চূড়ার উপরে স্থাপিত
pinnacles,চূড়া
pinnacling,চূড়া হত্তয়া
pinnae,পত্রক
pinnas,পত্রক
pinnate,পক্ষল
pinnated,পক্ষল
pinned,পিনযুক্ত
pinners,সৌখিন ভারত বিদ্বেষী
pinning,পিন
pinnulas,পাখনা
pinny,শিশুদের ঢিলা আংরাখা বিশেষ
pinon,পীনোন
pinones,Piñones
pinpoint,তুচ্ছ বিষয়
pinpointed,আমন্ত্রণ
pinpoints,তুচ্ছ বিষয়
pinprick,সামান্য খোঁচা
pins,পিনের
pint,পাঁইট
pintle,পিন বা বলটু বিশেষতঃ যাহার কিছু ভর দিয়া ঘোরে
pinto,পিন্টো
pints,পাইঁট্
pinwheel,কাগজের চরকা
piny,অসমর্থনীয়রূপে না piny
pinyin,পিনয়িন
piolet,বরফ কাটিবার কুঠার
pioneer,অগ্রণী
pioneered,প্রবর্তিত
pioneering,নেতা
pioneers,অগ্রদূত
pious,আন্তরিক
piously,piously হয়েছে
pip,বীচি
pipa,পিপ
pipal,পিপুল
pipals,পিপ্পলী-বৃক্ষ
pipe,নল
piped,পাইপ
pipeful,পাইপ - ঠাসা তামাক
pipeless,অনাল
pipeline,পাইপলাইন
pipelined,pipeline করা
pipelines,পাইপলাইনের
pipelining,পাইপলাইনিং
piper,বংশীবাদক
piper betle,পান
piperidine,পিরিডিন
pipers,বংশীবাদক
pipes,পাইপ
pipette,পিপেট
piping,বংশীধ্বনিতুল্য
pipings,বংশীবাদন
pipit,ভরত - পক্ষি জাতীয় পক্ষিবিশেষ
pipkin,হাঁড়ি
pipkins,হাঁড়ি
pipped,পরাস্ত করা
pippin,আপেলবিশেষ
pipping,পরাস্ত করা
pippins,আপেলবিশেষ
pips,পিপস
pipsqueak,তুচ্ছ ব্যক্তি
pipsqueaks,ঘৃণ্য ব্যক্তি
pipul,পিপুল - গাছ
piquancy,তীব্রতা
piquant,তীব্র
pique,বিরূপতা
piqued,গর্বে আঘাত দেত্তয়া
piquency,তীব্রতা
piques,গর্বে আঘাত দেত্তয়া
piquet,দুইজনের উপয়োগী তাসখেলবিশেষ
piquing,গর্বে আঘাত দেত্তয়া
pir,পীর
piracies,জলদসু্যতা
piracy,জলদস্যুতা
piranha,দক্ষিণ আমেরিকার নদীর হিংস্র মত্সবিশেষ
pirate,জলদসু্য
pirated,পাইরেটেড
pirates,জলদস্যু
piratic,জলদসু্য - সম্বন্ধীয়
piratical,জলদসু্য - সম্বন্ধীয়
pirating,বিনা অনুমতিতে গ্রহণ করা
pirouette,নাচের সময় একপায়ে বা এক পায়ের আঙ্গুলে ভর দিয়া ঘুরপাক
pirs,বুজুর্গদের
pisa,পিসা
piscatorial,মত্স্য - সংক্রান্ত
piscatory,মত্স্য - সংক্রান্ত
pisces,মীনরাশি
piscicultural,মংস্যপালন - সংক্রান্ত
pisciculture,মত্স্যচাষ
pisciculturist,মত্স্যপালক
pisciculturists,মত্স্যপালক
piscina,মাছের পুকুর
piscinae,পুল
piscinas,পুকুর
piscine,মাছের পুকুর
piscivorous,মত্স্যাশী
pise,পদক্ষেপ
pish,ইশ্
pished,ফু
pishes,ফু
pishing,ফু
pishogue,যাদু
pishogues,ডাকিনীবিদ্যা
pismire,পিপীলিকা
pismires,পিপীলিকা
piss,প্রস্রাব
piss off,কেটে পড়া
pissed,প্রস্রাব
pisses,প্রস্রাব করা
pissing,প্রস্রাব করা
pistachio,পেস্তা
pistachios,পেস্তা বাদাম
pistil,পুষ্পের গর্ভকেশর
pistillate,মেয়েলী
pistils,পিস্টিল
